sala_id,presenca,luz_ligada,ac_ligado,temperatura,timestamp_str
101,1,0,0,,2025-11-18 16:42:50
101,0,0,0,,2025-11-18 16:54:25
101,1,0,0,,2025-11-18 17:02:20
101,0,0,0,,2025-11-18 17:08:21
101,1,0,0,,2025-11-18 17:08:32
101,0,1,1,,2025-11-18 17:08:43
101,1,0,0,24.0,2025-11-18 17:22:44
101,0,0,0,24.0,2025-11-18 17:34:16
101,0,0,0,15.8,2025-11-18 17:39:57
101,1,0,0,31.3,2025-11-18 17:40:17
101,0,1,1,31.3,2025-11-18 17:40:28
101,1,0,0,10.1,2025-11-18 17:40:55
101,0,1,0,10.1,2025-11-18 17:41:07
101,1,0,0,80.0,2025-11-18 17:41:22
101,0,1,1,80.0,2025-11-18 17:41:32
101,0,0,0,80.0,2025-11-18 17:47:21
101,1,0,0,80.0,2025-11-18 17:47:34
101,0,1,1,80.0,2025-11-18 17:47:45
101,0,1,1,,2025-11-17 23:07:08
10,0,0,0,,2025-11-18 16:26:55
101,0,1,1,,2025-11-17 22:57:58
10,0,0,0,,2025-11-18 16:34:08
101,1,0,0,,2025-11-18 16:38:14
101,1,0,0,,2025-11-18 16:38:52
